id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,BLR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Balance Beam,Gold,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21.0,152.0,39.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Individual All-Around,,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21.0,152.0,39.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Team All-Around,Gold,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21.0,152.0,39.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Floor Exercise,,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21.0,152.0,39.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Horse Vault,,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21.0,152.0,39.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Uneven Bars,,Belarus,16.9
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21.0,152.0,39.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Balance Beam,Silver,Belarus,16.9
62740,Oleksandr Mykolaiovych Korchmid,M,22.0,188.0,81.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Pole Vault,,Ukraine,22.9
62740,Oleksandr Mykolaiovych Korchmid,M,26.0,188.0,81.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Pole Vault,,Ukraine,22.9
62755,Aleksandra Yuryevna Korelova,F,27.0,167.0,62.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",,Russia,22.2
