id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
27703,Aleksandr Aleksandrovich Derevyagin,M,29.0,175.0,73.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics 400 Metres Hurdles,,Russia,23.8,Combined,74,51,59.2,40.8
27704,Serhiy V'iacheslavovych Derevyanchenko,M,22.0,175.0,75.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Middleweight,,Ukraine,24.5,Combat,8,24,25.0,75.0
27707,Yelena Nikolayevna Dergachova,F,18.0,159.0,57.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey,,Russia,22.5,Skating,71,70,50.35,49.65
27709,Aleksey Viktorovich Dergunov,M,23.0,187.0,95.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Kayak Doubles, 500 Metres",,Kazakhstan,27.2,Paddling,4,8,33.33,66.67
27709,Aleksey Viktorovich Dergunov,M,27.0,187.0,95.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Kayak Doubles, 200 Metres",,Kazakhstan,27.2,Paddling,3,8,27.27,72.73
27709,Aleksey Viktorovich Dergunov,M,27.0,187.0,95.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Kayak Doubles, 1,000 Metres",,Kazakhstan,27.2,Paddling,3,8,27.27,72.73
27709,Aleksey Viktorovich Dergunov,M,31.0,187.0,95.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Kayak Singles, 200 Metres",,Kazakhstan,27.2,Paddling,10,13,43.48,56.52
27709,Aleksey Viktorovich Dergunov,M,31.0,187.0,95.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Kayak Doubles, 1,000 Metres",,Kazakhstan,27.2,Paddling,10,13,43.48,56.52
27713,Inna Vasilyevna Deriglazova,F,22.0,173.0,61.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Foil, Individual",,Russia,20.4,Miscellaneous,20,18,52.63,47.37
27713,Inna Vasilyevna Deriglazova,F,22.0,173.0,61.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencingfoil, Team",Silver,Russia,20.4,Miscellaneous,20,18,52.63,47.37
27713,Inna Vasilyevna Deriglazova,F,26.0,173.0,61.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Foil, Individual",Gold,Russia,20.4,Miscellaneous,17,15,53.12,46.88
27717,Nik'oloz Deriugini,M,21.0,206.0,105.0,Soviet Union,GEO,1980 Summer,1980,Summer,Moskva,Basketball,Basketball,Bronze,Georgia,24.7,Team,0,6,0.0,100.0
27718,Ivan Kostiantynovych Deriuhin,M,27.0,178.0,71.0,Soviet Union,UKR,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Individual,,Ukraine,22.4,Combined,3,15,16.67,83.33
27718,Ivan Kostiantynovych Deriuhin,M,27.0,178.0,71.0,Soviet Union,UKR,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Team,Gold,Ukraine,22.4,Combined,3,15,16.67,83.33
27721,V'iacheslav Vasylovych Derkach,M,21.0,175.0,69.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 20 Kilometres,,Ukraine,22.5,Skiing,41,37,52.56,47.44
27721,V'iacheslav Vasylovych Derkach,M,21.0,175.0,69.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.5,Skiing,41,37,52.56,47.44
27721,V'iacheslav Vasylovych Derkach,M,25.0,175.0,69.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.5,Skiing,34,27,55.74,44.26
27721,V'iacheslav Vasylovych Derkach,M,25.0,175.0,69.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 12.5 Kilometres Pursuit,,Ukraine,22.5,Skiing,34,27,55.74,44.26
