id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region
96741,Janno Prants,M,28.0,178.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 20 Kilometres,,Estonia
96741,Janno Prants,M,28.0,178.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Estonia
96741,Janno Prants,M,32.0,178.0,73.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon 10 Kilometres Sprint,,Estonia
96770,Jnis Prtnieks,M,24.0,176.0,70.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Cycling,"Cycling Road Race, Individual",,Russia
96770,Jnis Prtnieks,M,24.0,176.0,70.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Cycling,"Cycling Road Race, Team",,Russia
96818,Vladimir Viktorovich Predkin,M,27.0,189.0,84.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming 50 Metres Freestyle,,Russia
96818,Vladimir Viktorovich Predkin,M,27.0,189.0,84.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming 100 Metres Freestyle,,Russia
96818,Vladimir Viktorovich Predkin,M,27.0,189.0,84.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming 4 X 100 Metres Freestyle Relay,Silver,Russia
96837,Marius Prekeviius,M,24.0,195.0,92.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Basketball,Basketball,,Lithuania
96866,Nina Illivna Preobrazhenska (-Antoniuk),F,24.0,177.0,72.0,Soviet Union,UKR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Coxed Eights,Silver,Ukraine
96879,Endel Press,M,23.0,178.0,72.0,Soviet Union,EST,1952 Summer,1952,Summer,Helsinki,Swimming,"Swimming 1,500 Metres Freestyle",,Estonia
96880,Irina Natanovna Press,F,21.0,168.0,75.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics 80 Metres Hurdles,Gold,Russia
96880,Irina Natanovna Press,F,21.0,168.0,75.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics 4 X 100 Metres Relay,,Russia
96880,Irina Natanovna Press,F,25.0,168.0,75.0,Soviet Union,RUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics 80 Metres Hurdles,,Russia
96880,Irina Natanovna Press,F,25.0,168.0,75.0,Soviet Union,RUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Shot Put,,Russia
96880,Irina Natanovna Press,F,25.0,168.0,75.0,Soviet Union,RUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Pentathlon,Gold,Russia
96881,Tamara Natanovna Press,F,23.0,180.0,102.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Shot Put,Gold,Russia
96881,Tamara Natanovna Press,F,23.0,180.0,102.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Discus Throw,Silver,Russia
